PostingReference,loan_ref,payment_period,amount_received,payment_method
SYN-P000001-A,SYN-L000001,2026-08,2326.21,DIRECT_DEBIT
SYN-P000002-A,SYN-L000002,2026-08,715.56,DIRECT_DEBIT
SYN-P000003-A,SYN-L000003,2026-08,1370.97,DIRECT_DEBIT
SYN-P000004-A,SYN-L000004,2026-08,1235.13,DIRECT_DEBIT
SYN-P000007-A,SYN-L000007,2026-08,2079.64,DIRECT_DEBIT
SYN-P000008-A,SYN-L000008,2026-08,2197.94,DIRECT_DEBIT
SYN-P000009-A,SYN-L000009,2026-08,733.31,DIRECT_DEBIT
SYN-P000010-A,SYN-L000010,2026-08,895.61,DIRECT_DEBIT
SYN-P000011-A,SYN-L000011,2026-08,1259.90,DIRECT_DEBIT
SYN-P000011-B,SYN-L000011,2026-08,1259.90,DIRECT_DEBIT
SYN-P000012-A,SYN-L000012,2026-08,2228.15,DIRECT_DEBIT
SYN-P000013-A,SYN-L000013,2026-08,2121.27,DIRECT_DEBIT
SYN-P000014-A,SYN-L000014,2026-08,2527.00,DIRECT_DEBIT
SYN-P000014-B,SYN-L000014,2026-08,2527.00,DIRECT_DEBIT
SYN-P000015-A,SYN-L000015,2026-08,2488.48,DIRECT_DEBIT
SYN-P000015-B,SYN-L000015,2026-08,2488.48,DIRECT_DEBIT
SYN-P000016-A,SYN-L000016,2026-08,1749.74,DIRECT_DEBIT
SYN-P000017-A,SYN-L000017,2026-08,1827.57,DIRECT_DEBIT
SYN-P000018-A,SYN-L000018,2026-08,1379.26,DIRECT_DEBIT
SYN-P000019-A,SYN-L000019,2026-08,1068.53,DIRECT_DEBIT
SYN-P000020-A,SYN-L000020,2026-08,1757.85,DIRECT_DEBIT
SYN-P000021-A,SYN-L000021,2026-08,1378.42,DIRECT_DEBIT
SYN-P000022-A,SYN-L000022,2026-08,1214.43,DIRECT_DEBIT
SYN-P000025-A,SYN-L000025,2026-08,903.53,DIRECT_DEBIT
SYN-P000026-A,SYN-L000026,2026-08,1551.65,DIRECT_DEBIT
SYN-P000027-A,SYN-L000027,2026-08,1343.42,DIRECT_DEBIT
SYN-P000028-A,SYN-L000028,2026-08,2562.94,DIRECT_DEBIT
SYN-P000029-A,SYN-L000029,2026-08,2055.68,DIRECT_DEBIT
SYN-P000030-A,SYN-L000030,2026-08,1642.30,DIRECT_DEBIT
SYN-P000031-A,SYN-L000031,2026-08,2097.14,DIRECT_DEBIT
SYN-P000032-A,SYN-L000032,2026-08,2297.94,DIRECT_DEBIT
SYN-P000033-A,SYN-L000033,2026-08,1598.00,DIRECT_DEBIT
SYN-P000034-A,SYN-L000034,2026-08,1154.07,DIRECT_DEBIT
SYN-P000035-A,SYN-L000035,2026-08,832.33,DIRECT_DEBIT
SYN-P000036-A,SYN-L000036,2026-08,2383.46,DIRECT_DEBIT
SYN-P000037-A,SYN-L000037,2026-08,1408.61,DIRECT_DEBIT
SYN-P000038-A,SYN-L000038,2026-08,1260.24,DIRECT_DEBIT
SYN-P000039-A,SYN-L000039,2026-08,1646.47,DIRECT_DEBIT
SYN-P000039-B,SYN-L000039,2026-08,1646.47,DIRECT_DEBIT
SYN-P000040-A,SYN-L000040,2026-08,1838.58,DIRECT_DEBIT
