LoanIdentifier,Period,ScheduledInstalment,ContractMarginPct
SYN-L000001,2026-08,2326.21,1.78
SYN-L000002,2026-08,715.56,3.39
SYN-L000003,2026-08,1370.97,2.12
SYN-L000004,2026-08,1235.13,1.85
SYN-L000005,2026-08,2580.61,1.76
SYN-L000006,2026-08,2423.92,3.39
SYN-L000007,2026-08,2079.64,1.72
SYN-L000008,2026-08,2197.94,2.58
SYN-L000009,2026-08,733.31,1.57
SYN-L000010,2026-08,895.61,2.05
SYN-L000011,2026-08,1259.90,2.79
SYN-L000012,2026-08,2228.15,1.56
SYN-L000013,2026-08,2121.27,2.00
SYN-L000014,2026-08,2527.00,3.16
SYN-L000015,2026-08,2488.48,2.89
SYN-L000016,2026-08,1749.74,2.06
SYN-L000017,2026-08,1827.57,3.00
SYN-L000018,2026-08,1379.26,1.51
SYN-L000019,2026-08,1068.53,3.28
SYN-L000020,2026-08,1757.85,2.37
SYN-L000021,2026-08,1378.42,1.89
SYN-L000022,2026-08,1214.43,3.45
SYN-L000023,2026-08,1532.36,1.76
SYN-L000024,2026-08,893.12,2.47
SYN-L000025,2026-08,903.53,2.41
SYN-L000026,2026-08,1551.65,3.04
SYN-L000027,2026-08,1343.42,1.61
SYN-L000028,2026-08,2562.94,2.67
SYN-L000029,2026-08,2055.68,1.81
SYN-L000030,2026-08,1642.30,1.70
SYN-L000031,2026-08,2097.14,2.25
SYN-L000032,2026-08,2297.94,3.08
SYN-L000033,2026-08,1598.00,2.97
SYN-L000034,2026-08,1154.07,3.30
SYN-L000035,2026-08,832.33,1.61
SYN-L000036,2026-08,2383.46,2.08
SYN-L000037,2026-08,1408.61,1.70
SYN-L000038,2026-08,1260.24,1.75
SYN-L000039,2026-08,1646.47,2.21
SYN-L000040,2026-08,1838.58,3.12
